9A
              0;fizra;fizika;fizika;himiya;obshestvo;istoriya_rossii;
              1;matematika;matematika;literatura;russkii;russkii;biologiya;
              2;matematika;matematika;literatura;russkii;russkii;biologiya;
              3;fizra;fizika;fizika;himiya;obshestvo;informatika;informatika;
              4;english;matematika;matematika;literatura;himiya;english;
              5;istoriya_mira;astronomiya;informatika;informatika;english;IP;IP;

9B
              0;
              1;
              2;
              3;
              4;
              5;

9C
              0;
              1;
              2;
              3;
              4;
              5;

9D
              0;
              1;
              2;
              3;
              4;
              5;

